name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Baked Beans Regular Salt Reduced,https://www.coles.com.au/product/heinz-baked-beans-regular-salt-reduced-220g-5239421,https://productimages.coles.com.au/productimages/5/5239421.jpg,2,0.22,9.09,0.22,350,4.6,0.5,,12.8,4.8,250
Blueberries In Syrup,https://www.coles.com.au/product/coles-blueberries-in-syrup-415g-4164961,https://productimages.coles.com.au/productimages/4/4164961.jpg,3.8,0.415,9.16,0.122,376,0.3,,,19.4,15.9,0.61
Mangoes Slices In Natural Juice,https://www.coles.com.au/product/goulburn-valley-mangoes-slices-in-natural-juice-685g-1860140,https://productimages.coles.com.au/productimages/1/1860140.jpg,6.3,0.685,9.2,0.175,214,0.4,0.1,0.1,11.6,9.3,5
Skinless Hot Dog,https://www.coles.com.au/product/plumrose-skinless-hot-dog-560g-5926057,https://productimages.coles.com.au/productimages/5/5926057.jpg,6.5,0.56,11.61,0.048,901,14.1,16.5,5.9,2.9,0.3,860
Mi Goreng Hot & Spicy Instant 5 Pack,https://www.coles.com.au/product/indo-mie-mi-goreng-hot-and-spicy-instant-5-pack-425g-1573738,https://productimages.coles.com.au/productimages/1/1573738.jpg,3.95,0.425,9.3,,,,,,,,
Fried BBQ Chicken Instant Noodles 5 Pack,https://www.coles.com.au/product/indomie-fried-bbq-chicken-instant-noodles-5-pack-85g-7398277,https://productimages.coles.com.au/productimages/7/7398277.jpg,3.95,0.085,9.3,,,,,,,,
Fried Mi Goreng Instant Noodles 5 Pack ,https://www.coles.com.au/product/indomie-fried-mi-goreng-instant-noodles-5-pack-85g-9789639,https://productimages.coles.com.au/productimages/9/9789639.jpg,3.95,0.085,9.3,,,,,,,,
Sweetened Condensed Coconut Milk,https://www.coles.com.au/product/coles-sweetened-condensed-coconut-milk-320g-3788407,https://productimages.coles.com.au/productimages/3/3788407.jpg,3,0.32,9.4,0.04,1475.06,0.71,10.35,7.76,63.53,,49.41
Aussie Made Diced Fruit Salad in Juice 120g,https://www.coles.com.au/product/spc-aussie-made-diced-fruit-salad-in-juice-120g-4-pack-2833798,https://productimages.coles.com.au/productimages/2/2833798.jpg,4.5,4,9.38,0.12,229,0.6,0.1,0.1,12.1,11.7,5
Tropics Diced & Juicy Mangoes in Juice 120g,https://www.coles.com.au/product/spc-tropics-diced-and-juicy-mangoes-in-juice-120g-4-pack-2833812,https://productimages.coles.com.au/productimages/2/2833812.jpg,4.5,4,9.38,0.12,222,0.2,0.1,0.1,12.3,9.6,5
Aussie Diced Apricots in Juice 120g,https://www.coles.com.au/product/spc-aussie-diced-apricots-in-juice-120g-4-pack-2833856,https://productimages.coles.com.au/productimages/2/2833856.jpg,4.5,4,9.38,0.12,146,0.2,0.1,0.1,7.8,6.9,5
Aussie Diced Peaches in Juice 120g,https://www.coles.com.au/product/spc-aussie-diced-peaches-in-juice-120g-4-pack-2833867,https://productimages.coles.com.au/productimages/2/2833867.jpg,4.5,4,9.38,0.12,207,0.5,0.1,0.1,11.2,9.2,5
Little Tubs of Apple Puree 120g,https://www.coles.com.au/product/spc-little-tubs-of-apple-puree-120g-4-pack-2834043,https://productimages.coles.com.au/productimages/2/2834043.jpg,4.5,4,9.38,0.12,284,0.4,0.1,0.1,15.5,11.3,7
